,nome,porcentagem_desconto,preco,tipo
216,monster hunter rise,55,62.95,padrao
217,the survivalists,0,59.9,padrao
218,gato roboto,0,26.49,padrao
219,mega man 11,67,23.09,padrao
220,far cry,70,8.99,padrao
221,hogwarts legacy,10,224.99,padrao
222,doom eternal  steam,67,49.17,padrao
223,dead cells,40,28.49,padrao
224,prey,75,22.49,padrao
225,tekken 7  definitive edition,85,79.43,padrao
226,one piece pirate warriors 4  deluxe edition,85,59.23,padrao
227,one piece world seeker,90,24.99,padrao
228,frostpunk,0,88.99,padrao
229,injustice 2  standard edition,90,22.99,padrao
230,far cry 5,80,35.99,padrao
231,men of war,0,16.99,padrao
232,the elder scrolls v skyrim anniversary upgrade,50,39.5,dlc
233,gotham knights  deluxe edition,65,139.99,padrao
234,injustice 2  legendary edition,85,41.99,padrao
235,assassins creed rogue deluxe edition,70,26.99,padrao
236,naruto shippuden ultimate ninja storm 3 full burst,75,19.97,padrao
237,crypt of the necrodancer,0,27.99,padrao
238,my hero ones justice 2,85,23.98,padrao
239,euro truck simulator 2  heavy cargo pack,0,12.49,dlc
240,euro truck simulator 2  scandinavia,0,44.99,dlc
241,dishonored definitive edition,75,14.99,padrao
242,enigma do medo,9,49.99,prevenda
243,euro truck simulator 2  special transport,0,12.19,dlc
244,lego marvel super heroes 2,90,8.99,padrao
245,south park the fractured but whole,80,29.99,padrao
246,hotline miami 2 wrong number,0,46.99,padrao
247,resident evil village,50,69.95,padrao
248,monopoly plus,60,17.99,padrao
249,the escapists 2,0,59.99,padrao
250,dishonored,75,7.49,padrao
251,enigma do medo  bundle do medo,12,105.0,prevenda
252,tom clancys ghost recon breakpoint,80,35.8,padrao
253,dragon ball fighterz,85,22.48,padrao
254,lego star wars the force awakens  season pass,94,2.0,dlc
255,batman arkham asylum goty,85,13.49,padrao
256,ultimate marvel vs. capcom 3,70,16.49,padrao
257,dishonored 2,80,17.99,padrao
258,assassins creed syndicate,75,22.49,padrao
259,south park the stick of truth,75,22.49,padrao
260,euro truck simulator 2  cabin accessories,0,11.49,dlc
261,dragon ball fighterz  fighterz edition,85,35.98,padrao
262,accel world vs. sword art online deluxe edition,80,18.19,padrao
263,one piece pirate warriors 3  gold edition,85,15.59,padrao
264,middleearth shadow of mordor  goty edition upgrade,75,4.99,dlc
265,the elder scrolls v skyrim anniversary edition,60,71.6,padrao
266,watch_dogs 2 deluxe edition,85,26.99,padrao
267,resident evil revelations 2 deluxe edition,60,29.99,padrao
268,one piece world seeker  deluxe edition,90,34.99,padrao
269,assassins creed origins,85,26.99,padrao
270,assassins creed odyssey  ultimate edition,80,65.99,padrao
271,mega man x legacy collection 2,60,15.99,padrao
272,witch it,0,59.99,padrao
273,hatred,0,17.99,padrao
274,metal gear survive,0,79.99,padrao
275,silence,0,37.99,padrao
276,euro truck simulator 2  wheel tuning pack,0,6.49,dlc
277,the evil within season pass,60,11.99,dlc
278,xbox game pass ultimate  3 meses,0,134.99,padrao
279,rage the scorchers,60,3.59,dlc
280,hogwarts legacy  deluxe edition,10,269.98,padrao
281,watch dogs legion  ultimate edition,80,79.99,padrao
282,watch dogs legion  deluxe edition,85,41.24,padrao
283,planet zoo  deluxe edition,0,108.99,padrao
284,assassins creed revelations gold edition,67,29.69,padrao
285,aspire inas tale,80,5.79,padrao
286,townscaper,30,8.67,padrao
287,the suicide of rachel foster,0,49.99,padrao
288,digimon story cyber sleuth complete edition,75,32.49,padrao
289,post scriptum,75,14.72,padrao
290,marvel vs. capcom infinite,80,17.99,padrao
291,the escapists + the escapists the walking dead deluxe bundle,0,45.99,padrao
292,fallout a post nuclear role playing game,75,4.99,padrao
293,fallout tactics brotherhood of steel,75,4.99,padrao
294,quake iii arena + team arena,60,13.19,padrao
295,pacote black legends,85,71.99,pacote
296,alien breed trilogy,0,39.99,pacote
297,destiny 2 lightfall + annual pass,33,200.99,dlc
298,destiny 2 bungie 30th anniversary pack,50,37.49,dlc
299,one punch man a hero nobody knows  deluxe edition,90,22.99,padrao
300,contra anniversary collection,0,79.0,padrao
301,assassins creed origins  gold edition,80,59.99,padrao
302,one piece burning blood  gold edition,85,32.98,padrao
303,tom clancys splinter cell conviction deluxe edition,75,14.99,padrao
304,miasma chronicles,13,129.99,padrao
305,riders republic,75,62.47,padrao
306,golf club wasteland,80,4.13,padrao
307,dont starve together,0,27.99,padrao
308,horizon chase turbo,0,49.99,padrao
309,super dragon ball heroes world mission,90,19.99,padrao
310,metal gear solid v the phantom pain,0,129.99,padrao
311,necrovision,0,16.99,padrao
312,dead rising 2,70,10.49,padrao
313,assassins creed valhalla  season pass,60,63.99,dlc
314,euro truck simulator 2  mighty griffin tuning pack,0,9.99,dlc
315,euro truck simulator 2  schwarzmüller trailer pack,0,6.29,dlc
316,euro truck simulator 2  prehistoric paint jobs pack,0,4.49,dlc
317,immortals fenyx rising   gold edition,80,69.99,padrao
318,far cry 5 – gold edition,80,51.99,padrao
319,kingdom two crowns norse lands edition,60,18.89,padrao
320,worms rumble  deluxe edition,0,54.49,padrao
321,castlevania anniversary collection,0,119.0,padrao
322,sword art online hollow realization deluxe edition,80,18.19,padrao
323,mortal kombat x  premium edition,85,25.34,padrao
324,worms ultimate mayhem deluxe edition,0,31.99,padrao
325,police stories,70,17.99,padrao
326,stranded alien dawn,15,86.49,padrao
327,far cry 6,75,62.49,padrao
328,outer wilds,40,35.99,padrao
329,scott pilgrim vs. the world the game  complete edition,67,19.79,padrao
330,tokyo ghoulre [call to exist],90,15.99,padrao
331,far cry primal,75,22.49,padrao
332,watch dogs,75,22.49,padrao
333,tom clancys rainbow six vegas,75,7.49,padrao
334,tom clancys splinter cell blacklist,75,22.49,padrao
335,tom clancys rainbow six vegas 2,75,7.49,padrao
336,monster hunter rise sunbreak,32,114.68,dlc
337,euro truck simulator 2  viking legends,0,4.49,dlc
338,ea  gift card digital r$125,0,125.0,padrao
339,crunchyroll mega fan  12 meses,0,199.99,padrao
340,devil may cry 5 deluxe + vergil,50,59.99,padrao
341,tom clancys ghost recon breakpoint  deluxe edition,80,41.99,padrao
342,tom clancys ghost recon breakpoint  ultimate edition,80,71.99,padrao
343,far cry new dawn  deluxe edition,80,29.99,padrao
344,naruto to boruto  shinobi striker deluxe edition,90,23.99,padrao
345,f.e.a.r.  ultimate shooter edition,0,16.99,padrao
346,wolcen lords of mayhem,0,75.49,padrao
347,shift happens,0,46.99,padrao
348,conan exiles,50,49.74,padrao
349,candle,0,18.99,padrao
350,mother russia bleeds,0,46.99,padrao
351,watch_dogs 2,85,22.49,padrao
352,fallout 2 a post nuclear role playing game,75,4.99,padrao
353,dragon ball xenoverse,85,11.99,padrao
354,worms revolution,0,27.99,padrao
355,resident evil village  winters expansion,25,50.17,dlc
356,american truck simulator  special transport,0,12.19,dlc
357,far cry 6  gold edition,75,87.49,padrao
358,destiny 2 legacy collection,50,74.99,padrao
359,pilgrims,0,13.99,padrao
360,sword art online re hollow fragment,75,9.49,padrao
361,for honor starter edition,60,17.99,padrao
362,the crew 2,80,29.99,padrao
363,remember me,80,9.99,padrao
364,destiny 2 lightfall,40,89.99,dlc
365,euro truck simulator 2  pirate paint jobs pack,0,4.29,dlc
366,tom clancys ghost recon wildlands ultimate edition,80,65.99,padrao
367,watch_dogs 2 gold edition,85,38.99,padrao
368,lego star wars™ the skywalker saga,60,79.99,padrao
369,watch dogs legion,85,37.49,padrao
370,greak memories of azur,0,59.99,padrao
371,naruto to boruto shinobi striker,90,13.99,padrao
372,tom clancys the division 1  ediçao standard,85,17.99,padrao
373,scania truck driving simulator,0,19.99,padrao
374,rocket knight,0,16.99,padrao
375,max payne 2 the fall of max payne,0,14.99,padrao
376,naruto shippuden ultimate ninja storm trilogy,75,40.14,pacote
377,injustice 2  ultimate pack,90,19.99,dlc
378,ea  gift card digital r$299,0,299.0,padrao
379,worms reloaded  game of the year edition,0,45.99,padrao
380,gauntlet slayer edition,80,17.99,padrao
381,batman  the telltale series,50,14.49,padrao
382,florence,66,5.94,padrao
383,world war z aftermath,0,75.49,padrao
384,contra rogue corps,0,159.9,padrao
385,devolver bootleg,0,10.89,padrao
386,io,90,1.59,padrao
387,steep,85,13.49,padrao
388,worms w.m.d,0,79.9,padrao
389,star wars knights of the old republic ii  the sith lords,0,19.99,padrao
390,skyhill,0,26.69,padrao
391,star wars knights of the old republic,0,20.69,padrao
392,quake iv,67,10.88,padrao
393,watch dogs  complete edition,75,37.49,pacote
394,horizon chase turbo  summer vibes,0,5.49,dlc
395,conan exiles isle of siptah,20,39.99,dlc
396,assassins creed origins  season pass,70,35.99,dlc
397,american truck simulator  wheel tuning pack,0,6.49,dlc
398,euro truck simulator 2  force of nature paint jobs pack,0,4.49,dlc
399,okami hd,50,19.99,padrao
400,planet alpha,0,37.99,padrao
401,holy potatoes! what the hell?!,0,10.99,padrao
402,hard west,90,3.69,padrao
