nome,porcentagem_desconto,preço,tipo
South Park: The Fractured but Whole - Gold Edition,-80%,"R$ 47,99",Padrão
The Last of Us - Part I,-10%,"R$ 223,99",Padrão
Dragon Ball Xenoverse 2,-85%,"R$ 32,23",Padrão
Assassin’s Creed Rogue,-70%,"R$ 17,99",Padrão
Assassin's Creed: Director's Cut Edition,-70%,"R$ 17,99",Padrão
Wartales,0,"R$ 129,99",Padrão
Enter the Gungeon,0,"R$ 46,99",Padrão
LEGO Marvel Vingadores,-90%,"R$ 8,99",Padrão
Wolfenstein 3D,-70%,"R$ 2,69",Padrão
Far Cry Primal: Digital Apex Edition,-75%,"R$ 26,24",Padrão
Euro Truck Simulator 2 - Beyond the Baltic Sea,0,"R$ 44,99",DLC
Worms Revolution Gold Edition,0,"R$ 45,99",Padrão
DOOM 3,-60%,"R$ 15,60",Padrão
Gotham Knights,-65%,"R$ 104,99",Padrão
Fallout 4 Season Pass,-65%,"R$ 36,74",DLC
Resident Evil Village Gold Edition,-40%,"R$ 101,94",Padrão
Assassin's Creed Valhalla - Complete Edition,-70%,"R$ 149,99",Padrão
Street Fighter - 30th Anniversary,-67%,"R$ 29,69",Padrão
Marvel vs. Capcom: Infinite Deluxe,-80%,"R$ 25,99",Padrão
Wolfenstein II: The New Colossus - Digital Deluxe Edition,-85%,"R$ 37,35",Padrão
Wolfenstein: Youngblood,-70%,"R$ 17,99",Padrão
Super Bomberman R,0,"R$ 150,00",Padrão
Rayman Legends,-80%,"R$ 17,99",Padrão
Assassin's Creed: Brotherhood,-70%,"R$ 17,99",Padrão
RAGE,-60%,"R$ 11,99",Padrão
Naruto Storm 4: Road to Boruto Expansion,-50%,"R$ 18,49",DLC
Enigma do Medo - Bundle do Detetive,-10%,"R$ 85,00",Pré-Venda
DOOM Eternal - Deluxe Edition - Steam,-67%,"R$ 82,17",Padrão
Far Cry New Dawn - Ultimate Bundle,-85%,"R$ 52,49",Padrão
American Truck Simulator: Enchanted Edition,0,"R$ 115,26",Padrão
GhostWire: Tokyo,-60%,"R$ 83,60",Padrão
Monster Hunter Rise,-55%,"R$ 62,95",Padrão
The Survivalists,0,"R$ 59,90",Padrão
Gato Roboto,0,"R$ 26,49",Padrão
Mega Man 11,-67%,"R$ 23,09",Padrão
Far Cry,-70%,"R$ 8,99",Padrão
Hogwarts Legacy,-10%,"R$ 224,99",Padrão
DOOM Eternal - Steam,-67%,"R$ 49,17",Padrão
Dead Cells,-40%,"R$ 28,49",Padrão
Prey,-75%,"R$ 22,49",Padrão
TEKKEN 7 - Definitive Edition,-85%,"R$ 79,43",Padrão
ONE PIECE: PIRATE WARRIORS 4 - Deluxe Edition,-85%,"R$ 59,23",Padrão
ONE PIECE WORLD SEEKER,-90%,"R$ 24,99",Padrão
Frostpunk,0,"R$ 88,99",Padrão
Injustice 2 - Standard Edition,-90%,"R$ 22,99",Padrão
Far Cry 5,-80%,"R$ 35,99",Padrão
Men of War,0,"R$ 16,99",Padrão
